Date&Time,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2011-10-17,30986.0,33300.0,30730.0,33240.0,141902
2011-10-24,33440.0,40963.0,33305.0,39750.0,276533
2011-10-31,39299.0,40040.0,37752.0,39877.0,81614
2011-11-07,40100.0,40314.0,38305.0,39800.0,76555
2011-11-14,40196.0,48865.0,39039.0,46358.0,224387
2011-11-21,46199.0,50192.0,45000.0,49999.0,145341
2011-11-28,50399.0,51700.0,48525.0,50650.0,117117
2011-12-05,50800.0,51589.0,45888.0,46350.0,189284
2011-12-12,47000.0,48986.0,45177.0,47898.0,96329
2011-12-19,47212.0,49200.0,46000.0,46251.0,72801
2011-12-26,46650.0,49949.0,46557.0,49600.0,50345
2012-01-02,49993.0,51400.0,49500.0,50497.0,23308
2012-01-09,50549.0,59500.0,50049.0,57300.0,188905
2012-01-16,56803.0,59398.0,55851.0,57338.0,110843
2012-01-23,57061.0,59355.0,57000.0,57602.0,143506
2012-01-30,57499.0,58974.0,55905.0,56990.0,118948
2012-02-06,57150.0,59268.0,56800.0,58600.0,86003
2012-02-13,58900.0,59000.0,56525.0,57270.0,59464
2012-02-20,57571.0,57650.0,50098.0,53517.0,75432
2012-02-27,53700.0,54970.0,51414.0,51916.0,109625
2012-03-05,52000.0,53710.0,49451.0,54150.0,71276
2012-03-12,53900.0,58354.0,52023.0,57300.0,270597
2012-03-19,57878.0,58070.0,53620.0,54888.0,62991
2012-03-26,55188.0,58200.0,53121.0,57411.0,119898
2012-04-02,57975.0,58000.0,54279.0,55700.0,65124
2012-04-09,55410.0,60897.0,55000.0,60212.0,106621
2012-04-16,59955.0,62500.0,58758.0,61900.0,81649
2012-04-23,61633.0,61858.0,55100.0,55146.0,94237
2012-04-30,55431.0,56998.0,52241.0,52800.0,48348
2012-05-07,52600.0,52601.0,49000.0,50399.0,50102
2012-05-14,50002.0,50490.0,41600.0,43100.0,126360
2012-05-21,43284.0,44899.0,40125.0,43898.0,118324
2012-05-28,44000.0,45444.0,42100.0,42680.0,67478
2012-06-04,41502.0,45600.0,41502.0,45339.0,93638
2012-06-11,45450.0,47000.0,44548.0,46123.0,53575
2012-06-18,46585.0,47379.0,43525.0,44741.0,74976
2012-06-25,44486.0,47600.0,43817.0,47000.0,60996
2012-07-02,47205.0,49328.0,46510.0,48801.0,61240
2012-07-09,48717.0,49343.0,47100.0,49100.0,46624
2012-07-16,49250.0,51850.0,49250.0,50585.0,60157
2012-07-23,50000.0,50590.0,47678.0,50589.0,46003
2012-07-30,51250.0,52400.0,50510.0,51850.0,52034
2012-08-06,52040.0,56308.0,51688.0,55507.0,58172
2012-08-13,55750.0,55997.0,53601.0,54299.0,47047
2012-08-20,54447.0,54699.0,52104.0,52880.0,36068
2012-08-27,53000.0,53450.0,50625.0,52666.0,36320
2012-09-03,52697.0,54480.0,51895.0,54300.0,50388
2012-09-10,54300.0,58000.0,52756.0,57800.0,54520
2012-09-17,57400.0,59709.0,54150.0,55079.0,98474
2012-09-24,54511.0,58000.0,54267.0,57000.0,57701
2012-10-01,56930.0,60300.0,56884.0,59700.0,68820
2012-10-08,59387.0,60000.0,58100.0,59512.0,58230
2012-10-15,59499.0,62260.0,58650.0,59925.0,55812
2012-10-22,59584.0,61894.0,59056.0,61366.0,46109
2012-10-29,60902.0,63999.0,60701.0,63999.0,44269
2012-11-05,63817.0,65295.0,61800.0,62237.0,36045
2012-11-12,62500.0,62899.0,57850.0,61900.0,59530
2012-11-19,62487.0,64499.0,62171.0,63699.0,63039
2012-11-26,63751.0,65500.0,62125.0,65500.0,43610
2012-12-03,65500.0,67950.0,65086.0,67300.0,85413
2012-12-10,67134.0,70050.0,67108.0,69600.0,49396
2012-12-17,69700.0,69996.0,66550.0,67750.0,72987
2012-12-24,67750.0,69873.0,66685.0,69015.0,65790
2013-01-07,69600.0,70140.0,65700.0,66200.0,36949
2013-01-14,66200.0,69666.0,66000.0,69666.0,36995
2013-01-21,69694.0,70254.0,68010.0,69851.0,37077
2013-01-28,70199.0,71675.0,68858.0,71280.0,53589
2013-02-04,71449.0,72122.0,69777.0,69850.0,37381
2013-02-11,69849.0,70800.0,67349.0,69400.0,40380
2013-02-18,69358.0,70094.0,66650.0,67900.0,27317
2013-02-25,68199.0,69900.0,67295.0,68801.0,34851
2013-03-04,68801.0,70371.0,67686.0,70050.0,26829
2013-03-11,70251.0,71052.0,68790.0,70500.0,38146
2013-03-18,69851.0,69889.0,66198.0,66349.0,49448
2013-03-25,66840.0,67301.0,64552.0,67193.0,50083
2013-04-01,67001.0,67492.0,66150.0,67111.0,31018
2013-04-08,67193.0,67989.0,64100.0,64700.0,29891
2013-04-15,64600.0,65488.0,62451.0,63639.0,47838
2013-04-22,63635.0,64450.0,61605.0,62429.0,32382
2013-04-29,62397.0,62898.0,61200.0,62800.0,22966
2013-05-06,62949.0,66700.0,62912.0,66077.0,29598
2013-05-13,66079.0,67020.0,64388.0,66808.0,51443
2013-05-20,67140.0,70370.0,66316.0,68720.0,51944
2013-05-27,68900.0,69966.0,65891.0,67350.0,92346
2013-06-03,66873.0,75475.0,66200.0,74609.0,60375
2013-06-10,74623.0,75200.0,69725.0,72939.0,32243
2013-06-17,73000.0,74567.0,70343.0,71996.0,32145
2013-06-24,70999.0,73000.0,70004.0,71781.0,25948
2013-07-01,72277.0,78380.0,72001.0,78171.0,29990
2013-07-08,78350.0,79397.0,77060.0,78698.0,24016
2013-07-15,78679.0,83861.0,78200.0,81301.0,32510
2013-07-22,81897.0,83416.0,80488.0,81694.0,16497
2013-07-29,81694.0,83888.0,77777.0,79025.0,29296
2013-08-05,78900.0,80988.0,78159.0,78750.0,15544
2013-08-12,78749.0,81698.0,77779.0,77993.0,16408
2013-08-19,78000.0,78197.0,75402.0,76949.0,16719
2013-08-26,76900.0,78000.0,74788.0,76501.0,15989
2013-09-02,76145.0,82800.0,76142.0,80602.0,17310
2013-09-09,80500.0,83200.0,80003.0,82000.0,19636
2013-09-16,82579.0,83756.0,79515.0,82100.0,28708
2013-09-23,81904.0,84950.0,81904.0,84455.0,24985
2013-09-30,84400.0,85149.0,82880.0,83880.0,20242
2013-10-07,83600.0,87050.0,83252.0,85450.0,20798
2013-10-14,85451.0,86992.0,84001.0,86450.0,21822
2013-10-21,86450.0,86959.0,81932.0,82311.0,24393
2013-10-28,82555.0,83358.0,79860.0,82999.0,23828
2013-11-04,82888.0,83650.0,81520.0,83498.0,10432
2013-11-11,83220.0,84700.0,81699.0,82410.0,17415
2013-11-18,82410.0,83750.0,82013.0,83504.0,16248
2013-11-25,83699.0,85477.0,82657.0,84602.0,20387
2013-12-02,84378.0,84996.0,83770.0,83851.0,21301
2013-12-09,84296.0,85689.0,83350.0,85589.0,24965
2013-12-16,85340.0,86900.0,84502.0,85300.0,15628
2013-12-23,85011.0,87789.0,84374.0,85888.0,12746
2013-12-30,85351.0,85900.0,84990.0,85900.0,2418
2014-01-06,85102.0,86758.0,82251.0,83635.0,16209
2014-01-13,83430.0,84456.0,82366.0,83731.0,17553
2014-01-20,83505.0,85920.0,83403.0,85446.0,20147
2014-01-27,85397.0,86056.0,79450.0,80182.0,51636
2014-02-03,79896.0,81098.0,78200.0,78680.0,26712
2014-02-10,78953.0,82284.0,78123.0,81703.0,28459
2014-02-17,82099.0,82293.0,79670.0,80229.0,21574
2014-02-24,80131.0,81190.0,79525.0,81190.0,25404
2014-03-03,79999.0,80595.0,75100.0,77895.0,60486
2014-03-10,77503.0,78594.0,72602.0,74100.0,40423
2014-03-17,74226.0,75422.0,70555.0,72299.0,51696
2014-03-24,72539.0,76476.0,72539.0,75650.0,32923
2014-03-31,75950.0,77876.0,75462.0,77000.0,46967
2014-04-07,76925.0,81245.0,76105.0,79540.0,33439
2014-04-14,79451.0,82050.0,79217.0,81075.0,23191
2014-04-21,81162.0,81396.0,76582.0,76582.0,19761
2014-04-28,76941.0,80234.0,76611.0,79502.0,22477
2014-05-05,79458.0,81700.0,78525.0,79865.0,15223
2014-05-12,80270.0,84388.0,79783.0,83594.0,15227
2014-05-19,83738.0,87444.0,82625.0,86960.0,16386
2014-05-26,86999.0,87194.0,76766.0,79894.0,48988
2014-06-02,79895.0,80719.0,76056.0,77870.0,19605
2014-06-09,78297.0,78887.0,76372.0,76510.0,8709
2014-06-16,76980.0,78990.0,75003.0,75124.0,30393
2014-06-23,75491.0,77975.0,73400.0,74000.0,19624
2014-06-30,73999.0,77100.0,73850.0,76525.0,21672
2014-07-07,76406.0,77483.0,74000.0,74505.0,17202
2014-07-14,74903.0,75888.0,71500.0,72990.0,21154
2014-07-21,73001.0,75625.0,71821.0,73036.0,24467
2014-07-28,72601.0,75000.0,72311.0,73580.0,20322
2014-08-04,73602.0,76950.0,71625.0,76300.0,25143
2014-08-11,76892.0,82466.0,76659.0,81780.0,30032
2014-08-18,81523.0,83989.0,80924.0,82400.0,19277
2014-08-25,82499.0,83200.0,79125.0,81499.0,14674
2014-09-01,81302.0,87599.0,80892.0,86492.0,20075
2014-09-08,85956.0,86895.0,82300.0,84369.0,14337
2014-09-15,84296.0,86900.0,83400.0,86900.0,20731
2014-09-22,85999.0,91500.0,84001.0,89000.0,16361
2014-09-29,89496.0,89999.0,84250.0,85310.0,24924
2014-10-06,85700.0,88700.0,85570.0,87200.0,16220
2014-10-13,86800.0,88930.0,86790.0,88130.0,16222
2014-10-20,88300.0,89490.0,86700.0,89480.0,14161
2014-10-27,89700.0,95330.0,89510.0,93990.0,21841
2014-11-03,93510.0,102590.0,91610.0,98100.0,25042
2014-11-10,98940.0,102900.0,96280.0,102030.0,18839
2014-11-17,101820.0,109800.0,101810.0,108500.0,27247
2014-11-24,108290.0,120740.0,103150.0,119200.0,43934
2014-12-01,119300.0,131040.0,118000.0,119200.0,30303
2014-12-08,119200.0,122500.0,100200.0,106700.0,27059
2014-12-15,107240.0,149770.0,104190.0,111000.0,48895
2014-12-22,111010.0,131150.0,106110.0,118960.0,22129
2014-12-29,118550.0,130000.0,117050.0,126000.0,6313
2015-01-05,127990.0,148000.0,118810.0,120820.0,14588
2015-01-12,119050.0,134880.0,118800.0,130980.0,21757
2015-01-19,130100.0,135650.0,127020.0,131970.0,18719
2015-01-26,131500.0,141900.0,122510.0,141900.0,28375
2015-02-02,141510.0,145000.0,132540.0,141950.0,25580
2015-02-09,141000.0,156530.0,133600.0,139990.0,27831
2015-02-16,139990.0,148600.0,137010.0,146400.0,19934
2015-02-23,144820.0,146290.0,133840.0,138000.0,14814
2015-03-02,138190.0,141750.0,134100.0,135900.0,14084
2015-03-09,135330.0,138270.0,129700.0,132620.0,12214
2015-03-16,133000.0,135240.0,121640.0,124000.0,13684
2015-03-23,124300.0,128280.0,121780.0,124180.0,11917
2015-03-30,124500.0,134330.0,121690.0,129070.0,9421
